Employee_ID,Age,Department,Job_Level,Years_at_Company,Monthly_Hours_Worked,Remote_Work,Meetings_per_Week,Tasks_Completed_Per_Day,Overtime_Hours_Per_Week,Work_Life_Balance,Job_Satisfaction,Productivity_Score,Annual_Salary,Absences_Per_Year,Office_Branch
1,45,Marketing,Mid,29 tahun,198.0,No,1,7,1,Good,5,96.66344033473196,45755.56622389049,2,Branch_29
2,38,Marketing,Mid,7 tahun,157.0,Yes,13,3,10,Excellent,1,71.85364389680221,104526.17736429922,13,Branch_15
3,53,Sales,Mid,8 tahun,146.0,No,2,15,11,Poor,4,69.76200668782664,47098.01419044356,16,Branch_8
4,46,Finance,Mid,4 tahun,200.0,No,4,9,0,Poor,5,100.0,55011.36112363547,1,Branch_21
5,28,Finance,Manager,5 tahun,193.0,Hybrid,11,9,6,Poor,7,94.69138196596876,57538.42059047416,5,Branch_19
6,41,Sales,Mid,17 tahun,155.0,Yes,9,16,14,Average,2,92.4086153918236,52794.95769113676,4,Branch_23
7,50,Marketing,Entry,6 tahun,124.0,Hybrid,13,14,5,Good,6,85.00568106077904,43173.3746850566,13,Branch_11
8,40,Finance,Manager,29 tahun,170.0,No,6,8,12,Average,4,89.98654332130022,64117.38045417988,10,Branch_11
9,32,Marketing,Entry,29 tahun,167.0,No,11,4,3,Excellent,9,67.36419951246535,45117.51677075528,16,Branch_24
10,54,IT,Mid,28 tahun,146.0,Yes,2,11,13,Poor,6,96.11097873170884,72724.91320255886,14,Branch_24
11,36,,Senior,1 tahun,178.0,No,0,3,4,Good,7,71.82191298059587,36138.15578113258,9,Branch_3
12,52,Sales,Entry,3 tahun,173.0,Yes,3,3,5,Average,5,83.63829834764687,95339.3149401556,15,Branch_22
13,34,Finance,Entry,10 tahun,,No,6,13,12,Average,7,94.09569817252827,82103.8965378017,0,Branch_2
14,40,Operations,Mid,13 tahun,187.0,Yes,12,6,0,Average,8,58.65422523022912,28632.588698103384,0,Branch_24
15,27,Operations,Mid,19 tahun,190.0,No,2,7,0,Average,2,80.97819541551922,65247.94061313718,4,Branch_30
16,49,IT,Entry,14 tahun,127.0,Hybrid,14,13,4,Good,8,83.9307491909241,54437.40947845267,7,Branch_2
17,43,Marketing,Mid,23 tahun,134.0,Hybrid,7,3,6,Excellent,2,37.48956586781779,33081.59158500925,1,Branch_21
18,49,Finance,Entry,11 tahun,148.0,Hybrid,10,14,0,Average,8,71.39252430253795,62131.90785925044,5,Branch_33
19,37,Marketing,Entry,26 tahun,192.0,Hybrid,3,11,0,Average,2,93.66139273020843,55956.11749737538,4,Branch_12
20,54,IT,Senior,18 tahun,139.0,No,9,7,11,Good,4,37.19890336669748,35253.033438264705,6,Branch_22
21,47,HR,Entry,11 tahun,184.0,Yes,10,16,4,Average,7,85.77858645073195,76998.19878828671,0,Branch_25
22,44,Finance,Mid,15 tahun,126.0,Hybrid,13,8,7,Excellent,9,82.83381539158228,37322.3194095994,19,Branch_27
23,22,Operations,Manager,25 tahun,153.0,Hybrid,8,4,10,Good,7,72.41388942616578,35777.69238307467,4,Branch_28
24,50,Operations,Entry,4 tahun,129.0,No,2,17,3,Poor,8,69.42911119389888,20000.0,10,Branch_16
25,29,Finance,Entry,11 tahun,167.0,No,13,16,0,Average,3,88.2749328037435,49921.42415697543,4,Branch_15
26,24,Sales,Manager,6 tahun,189.0,Yes,4,13,2,Average,2,63.75589516392508,74918.98416201182,5,Branch_3
27,34,HR,Mid,22 tahun,144.0,Yes,8,13,3,Average,4,47.81450250488802,250000.0,13,Branch_7
28,41,Operations,Senior,18 tahun,195.0,No,11,13,3,Average,5,93.85824036927548,64838.285323345,15,Branch_21
29,26,Operations,Senior,12 tahun,160.0,Hybrid,9,10,5,Poor,2,61.73171967495324,41081.21772300136,2,Branch_9
30,33,Operations,Senior,26 tahun,197.0,No,8,16,8,Average,6,66.42715348291856,20000.0,17,Branch_18
31,38,,Manager,27 tahun,130.0,No,13,4,14,Average,2,70.3324674151487,40857.81916762941,1,Branch_4
32,35,Finance,Entry,16 tahun,131.0,No,6,3,12,Good,7,100.0,37418.492757944376,16,Branch_25
33,47,Marketing,Mid,20 tahun,202.0,Yes,11,15,1,Average,7,63.52784383024793,33606.68357088631,18,Branch_14
34,51,IT,Mid,16 tahun,161.0,Hybrid,8,11,14,Average,5,76.09416539203379,101066.9416946294,1,Branch_9
35,53,HR,Senior,18 tahun,211.0,Yes,7,13,9,Excellent,8,95.88739358937286,138432.73792861274,0,Branch_26
36,51,Sales,Entry,26 tahun,172.0,No,9,10,10,Poor,2,78.42836354706341,70944.61926066448,19,Branch_2
37,33,Sales,Senior,14 tahun,202.0,No,13,17,1,Good,8,83.05673038818945,46670.78131754378,16,Branch_20
38,57,Marketing,Senior,17 tahun,148.0,Yes,12,17,14,Average,9,69.91118465073755,29411.847912477737,4,Branch_28
39,40,IT,Entry,15 tahun,164.0,No,7,13,13,Poor,5,38.917435320625536,47733.59803424734,8,Branch_7
40,46,Sales,Mid,10 tahun,218.0,No,13,18,4,Good,5,87.23508958514162,47173.92327564335,9,Branch_8
41,54,Sales,Entry,7 tahun,142.0,Yes,2,16,4,Good,4,58.73213650547507,30249.78172796928,12,Branch_35
42,42,IT,Mid,5 tahun,179.0,No,2,11,2,Poor,4,83.58922440199265,58052.26363165852,3,Branch_14
43,23,HR,Mid,11 tahun,199.0,Hybrid,9,14,8,Average,5,90.6635644809135,47137.75800503161,3,Branch_17
44,58,Finance,Mid,21 tahun,179.0,Yes,1,17,5,Good,5,70.93944858775858,88591.0118800705,19,Branch_4
45,42,Finance,Mid,3 tahun,140.0,Hybrid,0,12,8,Average,5,67.83818068381771,250000.0,16,Branch_2
46,47,IT,Mid,17 tahun,,Yes,10,12,10,Average,4,92.57124633284234,40870.31682740693,16,Branch_6
47,53,IT,Mid,19 tahun,159.0,No,2,17,6,Excellent,4,92.51269539724804,54041.18333890894,6,Branch_4
48,48,Operations,Entry,9 tahun,120.0,No,13,17,1,Good,7,66.49286182896192,32155.986800589813,11,Branch_29
49,38,IT,Entry,4 tahun,144.0,Yes,9,4,9,Excellent,4,59.381397440814126,29355.92740819632,4,Branch_18
50,25,Marketing,Mid,15 tahun,135.0,No,13,12,10,Average,5,63.366917216968616,20000.0,14,Branch_26
51,36,Marketing,Senior,21 tahun,152.0,Hybrid,13,9,14,Average,8,74.25731191444342,107414.60001913758,0,Branch_34
52,54,IT,Mid,22 tahun,208.0,Yes,3,15,11,Excellent,6,57.03930516108484,62034.753158044405,12,Branch_10
53,35,Marketing,Mid,29 tahun,141.0,No,3,12,14,Average,1,45.85000423368679,58032.81290979247,1,Branch_14
54,47,Finance,Manager,9 tahun,186.0,Hybrid,4,15,10,Average,4,72.27485386884112,87254.26132420628,5,Branch_31
55,23,IT,Senior,29 tahun,186.0,Hybrid,9,7,0,Good,8,100.0,45923.49646487601,1,Branch_15
56,41,Finance,Manager,21 tahun,194.0,Hybrid,7,13,7,Poor,6,77.71387354606237,91921.59641653088,15,Branch_8
57,47,Finance,Entry,16 tahun,162.0,Yes,13,10,9,Average,7,46.61113626727722,29982.571634370408,15,Branch_14
58,23,Marketing,Mid,23 tahun,171.0,No,14,8,3,Excellent,4,65.29239011064456,47237.60209171947,9,Branch_23
59,23,Sales,Mid,25 tahun,182.0,Hybrid,13,5,6,Good,3,65.15545649183338,56041.104150744846,10,Branch_21
60,38,Sales,Senior,17 tahun,124.0,Yes,6,12,3,Good,4,69.25633955369878,20000.0,2,Branch_16
61,39,HR,Manager,18 tahun,144.0,Hybrid,5,10,1,Average,3,68.11905722150412,38574.16646810831,6,Branch_18
62,25,HR,Entry,5 tahun,157.0,Hybrid,4,4,11,Average,1,93.46448649286116,41956.84969876313,6,Branch_24
63,38,Sales,Entry,5 tahun,172.0,Hybrid,14,4,6,Average,2,42.93443295478337,66026.268558685,4,Branch_26
64,54,IT,Mid,28 tahun,135.0,No,13,15,6,Average,4,73.09158546722512,41047.60858960997,9,Branch_25
65,44,Sales,Mid,29 tahun,215.0,Yes,9,16,11,Average,6,63.61333538921024,40215.58076967808,12,Branch_29
66,34,Operations,Entry,9 tahun,212.0,Yes,9,15,2,Excellent,6,71.97597815049126,50355.03609825864,1,Branch_15
67,28,Marketing,Manager,27 tahun,189.0,No,9,17,2,Average,9,72.77243347360348,26684.99230346604,15,Branch_1
68,22,Sales,Entry,23 tahun,205.0,No,10,14,12,Average,3,100.0,91883.1656493384,0,Branch_25
69,52,IT,Entry,10 tahun,192.0,No,13,14,1,Good,1,84.44867353475921,48102.42753193023,18,Branch_7
70,57,IT,Mid,25 tahun,129.0,No,5,14,12,Good,6,71.40613864676554,250000.0,19,Branch_9
71,46,,Senior,27 tahun,174.0,Yes,13,14,10,Average,1,55.91432484965356,55653.846543470165,16,Branch_24
72,51,HR,Mid,23 tahun,133.0,Hybrid,10,17,8,Average,9,98.8474837328436,33804.755012795315,8,Branch_1
73,59,IT,Mid,22 tahun,203.0,Hybrid,12,8,2,Average,8,70.84823694464913,25571.61222414528,9,Branch_8
74,42,Finance,Entry,22 tahun,188.0,Hybrid,8,10,12,Poor,1,73.55664006338088,75250.86839635427,14,Branch_24
75,40,Operations,Entry,13 tahun,190.0,Yes,7,15,13,Average,1,34.04957724290553,250000.0,13,Branch_11
76,37,HR,Entry,17 tahun,173.0,No,7,5,14,Good,8,100.0,91467.61360824978,9,Branch_17
77,54,Operations,Senior,13 tahun,175.0,Hybrid,5,16,3,Average,2,72.06856018086894,48694.81965103053,1,Branch_8
78,27,Marketing,Entry,7 tahun,197.0,No,13,11,1,Poor,2,89.50864467753783,48111.91155956004,18,Branch_35
79,58,Finance,Senior,20 tahun,176.0,No,0,4,6,Good,1,78.45529347662492,64660.100890430695,2,Branch_35
80,29,Marketing,Entry,28 tahun,134.0,No,0,12,6,Good,3,57.90166351368603,34489.54935243848,14,Branch_33
81,22,Marketing,Manager,26 tahun,200.0,Yes,4,16,0,Good,6,100.0,88802.71258114483,15,Branch_5
82,34,Operations,Mid,3 tahun,203.0,Yes,7,10,2,Average,4,90.85174582962271,52439.67814968798,16,Branch_28
83,47,IT,Mid,1 tahun,135.0,Yes,4,14,8,Poor,6,86.61439081780263,25237.45591189595,15,Branch_7
84,37,Finance,Mid,23 tahun,140.0,Yes,6,6,11,Good,2,69.54019486056796,39794.959260242445,3,Branch_9
85,49,HR,Entry,10 tahun,194.0,Hybrid,1,8,0,Poor,5,73.81568376998727,63583.04281823,4,Branch_8
86,44,IT,Entry,15 tahun,187.0,Yes,12,16,6,Good,2,96.59641083881522,46672.97769876298,17,Branch_12
87,28,Sales,Manager,13 tahun,144.0,Hybrid,10,9,8,Average,3,70.98566806588303,42729.17639063101,0,Branch_34
88,45,HR,Entry,25 tahun,185.0,Yes,6,4,7,Poor,2,56.40242880601432,22267.633664425797,0,Branch_33
89,29,Sales,Entry,17 tahun,,Hybrid,14,9,0,Poor,7,51.03191836986369,59544.25482962943,14,Branch_23
90,22,IT,Mid,29 tahun,210.0,No,4,6,4,Average,6,99.47415012807686,59570.442199818775,9,Branch_24
91,25,Marketing,Manager,18 tahun,214.0,Hybrid,11,13,2,Good,3,100.0,70607.29417171245,6,Branch_35
92,40,Marketing,Mid,10 tahun,166.0,Yes,14,14,5,Good,6,60.790130894830746,63232.21249305517,7,Branch_22
93,43,Finance,Mid,20 tahun,191.0,Hybrid,13,19,1,Average,3,52.10013695398199,63251.444939075605,8,Branch_27
94,57,HR,Manager,9 tahun,191.0,No,9,13,7,Poor,7,55.20526453221867,43611.180830812926,9,Branch_35
95,22,Sales,Senior,26 tahun,124.0,Yes,2,11,12,Excellent,4,49.45511331166264,43336.59856693933,8,Branch_1
96,40,Sales,Manager,24 tahun,141.0,No,0,10,4,Good,7,40.39726065107752,250000.0,4,Branch_35
97,50,Finance,Entry,1 tahun,188.0,Yes,11,13,6,Good,4,73.51845303338543,54336.64964581223,11,Branch_14
98,40,Operations,Senior,12 tahun,159.0,Yes,12,11,7,Average,9,70.75624774236546,250000.0,17,Branch_3
99,27,Operations,Senior,11 tahun,167.0,No,11,19,2,Good,5,75.85090225308464,27362.525412188697,11,Branch_1
100,46,HR,Mid,11 tahun,189.0,Hybrid,8,19,9,Average,8,90.201817379245,34374.55907025722,1,Branch_5
101,44,Marketing,Mid,15 tahun,157.0,Hybrid,9,19,0,Good,8,66.06679236976836,24622.656925613475,8,Branch_26
102,22,Operations,Entry,20 tahun,190.0,No,6,19,9,Average,7,53.87237549350061,58376.5826183702,5,Branch_14
103,36,IT,Mid,14 tahun,137.0,Hybrid,7,14,7,Average,4,83.05756958641099,39228.12264396401,12,Branch_27
104,46,Finance,Entry,9 tahun,144.0,Hybrid,9,4,2,Average,9,77.39423297049349,45492.18015210846,8,Branch_9
105,25,IT,Mid,2 tahun,186.0,No,9,5,7,Excellent,5,89.3411578647861,105095.76742259056,14,Branch_15
106,22,IT,Mid,2 tahun,208.0,No,3,13,8,Excellent,1,87.21237025893167,41491.67091759988,8,Branch_15
107,42,Finance,Mid,22 tahun,140.0,No,2,6,6,Average,4,81.97584381644137,65990.88065901316,11,Branch_26
108,31,Sales,Mid,16 tahun,214.0,Hybrid,4,5,4,Excellent,4,66.09072768333404,58590.13078502901,17,Branch_13
109,23,HR,Mid,6 tahun,168.0,No,0,10,11,Good,5,99.2594213551044,48514.63621156024,7,Branch_32
110,38,Sales,Entry,13 tahun,161.0,Yes,5,6,4,Good,5,91.67028549755166,37175.14343732721,12,Branch_32
111,34,Marketing,Entry,6 tahun,199.0,No,11,6,9,Good,4,51.20858101762709,40145.161239226,14,Branch_4
112,48,HR,Mid,26 tahun,171.0,No,0,13,1,Excellent,8,66.10397811386053,41348.15771138464,7,Branch_30
113,49,Finance,Manager,1 tahun,183.0,Hybrid,11,7,12,Poor,6,55.446214349510406,89201.59857686587,3,Branch_23
114,31,Finance,Entry,25 tahun,205.0,Yes,7,12,7,Good,3,100.0,71599.48838721009,14,Branch_15
115,31,Finance,Senior,28 tahun,212.0,No,4,6,3,Excellent,9,87.29717020367569,51291.43676327258,10,Branch_29
116,30,IT,Mid,13 tahun,195.0,Yes,11,12,1,Poor,4,95.34503496117902,115869.75791015389,6,Branch_13
117,55,Finance,Entry,2 tahun,165.0,Hybrid,9,17,4,Excellent,1,54.29425318354836,54792.424028458096,18,Branch_32
118,25,Marketing,Entry,23 tahun,162.0,No,11,9,1,Excellent,4,45.04545215210207,37307.75938295339,18,Branch_7
119,25,Marketing,Senior,1 tahun,182.0,No,6,4,7,Average,7,100.0,69746.18364772,0,Branch_22
120,25,Finance,Entry,1 tahun,120.0,Yes,3,14,7,Good,4,83.51134828070478,42891.93871657093,4,Branch_28
121,32,HR,Entry,11 tahun,145.0,No,4,18,12,Poor,9,67.94973032998814,60868.91341883392,17,Branch_2
