Tanggal,Shift,Mesin,Jumlah_Produksi,Jumlah_Cacat,Downtime (menit),Suhu_Mesin,Kelembaban
2025-11-01,Pagi,A,376,6,9.9,80.3,55.3
2025-11-01,Pagi,B,351,4,54.4,82.1,35.4
2025-11-01,Pagi,C,395,8,2.0,72.8,55.2
2025-11-01,Pagi,D,466,6,20.3,70.4,54.6
2025-11-01,Siang,A,339,3,3.2,70.0,51.9
2025-11-01,Siang,B,224,2,11.6,79.4,49.9
2025-11-01,Siang,C,294,8,5.7,85.7,68.4
2025-11-01,Siang,D,353,10,4.6,80.6,46.7
2025-11-01,Malam,A,254,10,10.0,91.1,59.6
2025-11-01,Malam,B,231,6,1.8,79.4,63.9
2025-11-01,Malam,C,357,12,37.3,74.9,34.8
2025-11-01,Malam,D,421,16,15.0,82.3,69.2
2025-11-02,Pagi,A,283,3,1.6,86.7,56.3
2025-11-02,Pagi,B,425,6,20.6,84.7,51.8
2025-11-02,Pagi,C,416,14,2.5,67.3,48.0
2025-11-02,Pagi,D,358,14,10.8,77.4,42.0
2025-11-02,Siang,A,295,5,1.6,77.7,59.0
2025-11-02,Siang,B,329,9,20.9,83.7,47.4
2025-11-02,Siang,C,270,10,1.2,90.6,48.5
2025-11-02,Siang,D,408,14,24.8,88.5,56.1
2025-11-02,Malam,A,326,5,21.7,79.8,51.2
2025-11-02,Malam,B,293,4,1.3,83.6,64.1
2025-11-02,Malam,C,457,5,5.6,68.5,61.6
2025-11-02,Malam,D,420,5,16.0,70.0,37.9
2025-11-03,Pagi,A,293,6,7.5,68.3,50.9
2025-11-03,Pagi,B,361,6,21.0,74.5,41.7
2025-11-03,Pagi,C,351,8,23.9,76.8,47.3
2025-11-03,Pagi,D,334,4,4.1,,60.4
2025-11-03,Siang,A,320,5,2.3,74.6,40.2
2025-11-03,Siang,B,352,14,17.1,90.5,57.5
2025-11-03,Siang,C,350,9,3.8,74.3,50.5
2025-11-03,Siang,D,298,6,,58.9,40.5
2025-11-03,Malam,A,322,20,9.0,89.5,46.4
2025-11-03,Malam,B,347,4,3.9,82.6,52.3
2025-11-03,Malam,C,402,8,28.9,63.0,
2025-11-03,Malam,D,337,12,14.8,89.3,39.1
2025-11-04,Pagi,A,340,4,47.9,55.7,50.8
2025-11-04,Pagi,B,478,8,0.1,84.2,52.8
2025-11-04,Pagi,C,311,8,7.7,76.0,57.2
2025-11-04,Pagi,D,275,6,11.1,74.9,46.8
2025-11-04,Siang,A,329,12,0.5,86.1,39.8
2025-11-04,Siang,B,333,12,7.1,87.3,37.0
2025-11-04,Siang,C,419,7,43.9,60.9,28.2
2025-11-04,Siang,D,305,6,15.1,76.6,41.4
2025-11-04,Malam,A,454,6,42.2,84.3,44.6
2025-11-04,Malam,B,324,34,2.2,99.5,50.9
2025-11-04,Malam,C,347,7,31.0,71.2,49.7
2025-11-04,Malam,D,363,8,41.0,75.5,66.7
2025-11-05,Pagi,A,344,8,30.3,69.0,52.6
2025-11-05,Pagi,B,190,3,17.1,66.5,52.4
2025-11-05,Pagi,C,291,5,5.5,86.1,46.6
2025-11-05,Pagi,D,401,7,7.6,78.8,49.7
2025-11-05,Siang,A,403,5,6.6,76.4,45.5
2025-11-05,Siang,B,417,5,3.5,75.8,
2025-11-05,Siang,C,351,14,21.7,83.2,
2025-11-05,Siang,D,316,5,38.1,86.0,39.8
2025-11-05,Malam,A,440,9,18.6,73.0,40.7
2025-11-05,Malam,B,337,8,16.4,84.6,35.3
2025-11-05,Malam,C,379,7,18.6,74.9,34.4
2025-11-05,Malam,D,426,11,19.9,75.5,
2025-11-06,Pagi,A,355,8,13.4,66.3,
2025-11-06,Pagi,B,333,13,8.9,75.3,49.0
2025-11-06,Pagi,C,342,10,19.1,83.0,53.1
2025-11-06,Pagi,D,317,6,7.7,82.5,40.5
2025-11-06,Siang,A,367,6,32.6,77.5,46.0
2025-11-06,Siang,B,290,6,16.2,74.6,46.0
2025-11-06,Siang,C,323,4,3.8,75.4,50.9
2025-11-06,Siang,D,346,6,11.6,70.6,48.2
2025-11-06,Malam,A,414,15,16.0,86.2,60.5
2025-11-06,Malam,B,433,6,38.4,82.3,33.5
2025-11-06,Malam,C,329,5,14.3,80.5,54.7
2025-11-06,Malam,D,426,5,7.0,78.9,45.9
2025-11-07,Pagi,A,332,8,11.2,76.9,39.5
2025-11-07,Pagi,B,349,10,10.5,78.3,47.2
2025-11-07,Pagi,C,397,5,16.8,76.1,49.6
2025-11-07,Pagi,D,413,8,41.9,81.5,44.2
2025-11-07,Siang,A,467,12,13.9,72.0,39.9
2025-11-07,Siang,B,371,4,4.8,76.3,38.6
2025-11-07,Siang,C,367,11,28.6,76.8,52.7
2025-11-07,Siang,D,425,12,4.1,87.2,54.0
2025-11-07,Malam,A,301,7,0.1,,62.5
2025-11-07,Malam,B,381,5,47.3,79.0,51.8
2025-11-07,Malam,C,231,3,32.6,79.8,53.5
2025-11-07,Malam,D,323,4,7.4,85.7,51.9
2025-11-08,Pagi,A,332,3,2.8,74.7,30.2
2025-11-08,Pagi,B,320,9,4.5,80.9,52.6
2025-11-08,Pagi,C,360,9,15.9,71.7,49.4
2025-11-08,Pagi,D,347,6,10.5,84.9,72.7
2025-11-08,Siang,A,347,9,5.9,77.1,53.7
2025-11-08,Siang,B,294,4,0.6,78.5,44.5
2025-11-08,Siang,C,265,7,8.9,83.2,58.4
2025-11-08,Siang,D,183,4,11.4,68.5,61.6
2025-11-08,Malam,A,374,11,34.1,89.4,74.2
2025-11-08,Malam,B,453,9,18.1,,
2025-11-08,Malam,C,348,8,3.4,83.2,62.1
2025-11-08,Malam,D,366,16,0.5,92.6,44.1
2025-11-09,Pagi,A,256,2,26.4,66.6,54.8
2025-11-09,Pagi,B,330,5,10.0,71.1,61.3
2025-11-09,Pagi,C,342,3,1.7,67.7,42.6
2025-11-09,Pagi,D,487,3,3.0,83.8,42.0
2025-11-09,Siang,A,373,10,3.9,59.4,45.6
2025-11-09,Siang,B,399,9,6.7,59.5,40.0
2025-11-09,Siang,C,357,8,11.2,76.7,42.8
2025-11-09,Siang,D,371,12,10.1,73.3,49.1
2025-11-09,Malam,A,273,2,0.2,84.3,37.2
