ID_Kejadian,Tanggal_Kejadian,ID_Mesin,Usia_Mesin_Tahun,Penyebab_Downtime,Durasi_Downtime_Menit,Beban_Kerja_Harian_Persen,Shift_Kejadian,Biaya_Perbaikan_Ribu_Rupiah
DT0001,2025-09-03,M08,10.2,Kerusakan Elektrikal,70.5,98.2,Malam,
DT0002,2025-11-11,M10,6.4,Kerusakan Mekanis,57.3,77.6,Malam,1149.0
DT0003,2025-09-21,M05,7.2,Kerusakan Mekanis,59.9,43.4,Pagi,820.0
DT0004,2025-08-23,M06,12.9,Kerusakan Mekanis,79.8,69.8,Siang,1757.0
DT0005,2026-01-14,M07,8.5,Kerusakan Mekanis,64.4,100.0,Pagi,787.0
DT0006,2025-10-03,M07,8.6,Kerusakan Mekanis,64.8,67.4,Malam,944.0
DT0007,2025-12-25,M06,12.9,Kerusakan Mekanis,79.9,100.0,Pagi,
DT0008,2025-12-12,M04,11.3,Kerusakan Mekanis,74.3,87.4,Malam,1285.0
DT0009,2025-08-27,M09,6.1,Kekurangan Bahan Baku,56.0,65.9,Pagi,909.0
DT0010,2025-09-04,M08,10.7,Pergantian Alat (Tooling Change),72.1,55.8,Malam,1828.0
DT0011,2025-11-16,M01,6.5,Kerusakan Mekanis,57.6,77.1,Pagi,1232.0
DT0012,2025-11-23,M07,8.7,Kekurangan Bahan Baku,65.2,91.1,Malam,1108.0
DT0013,2025-09-20,M10,6.7,Kerusakan Mekanis,58.1,48.3,Malam,806.0
DT0014,2025-08-29,M06,12.0,Pergantian Alat (Tooling Change),76.7,73.8,Siang,1602.0
DT0015,2025-11-24,M10,6.1,Kerusakan Mekanis,56.2,41.4,Siang,825.0
DT0016,2025-09-13,M04,11.4,Kerusakan Mekanis,74.8,66.9,Siang,1815.0
DT0017,2025-09-01,M03,3.2,Kerusakan Elektrikal,45.9,47.2,Siang,576.0
DT0018,2025-10-09,M05,6.4,Kerusakan Mekanis,57.2,80.4,Siang,824.0
DT0019,2025-10-04,M02,7.6,Kerusakan Mekanis,61.4,61.7,Siang,1153.0
DT0020,2025-10-13,M01,6.9,Kerusakan Mekanis,58.8,89.4,Siang,1125.0
DT0021,2025-10-11,M06,13.0,Kekurangan Bahan Baku,80.1,63.9,Pagi,1591.0
DT0022,2025-11-12,M01,6.1,Kerusakan Mekanis,56.0,62.5,Siang,314.0
DT0023,2025-11-07,M01,6.6,Kerusakan Mekanis,57.8,47.8,Siang,1191.0
DT0024,2025-08-07,M05,7.3,Pergantian Alat (Tooling Change),60.4,77.9,Malam,1031.0
DT0025,2025-09-13,M03,2.5,Kerusakan Mekanis,43.6,79.4,Pagi,
DT0026,2025-11-01,M02,8.5,Kerusakan Mekanis,64.6,86.1,Malam,1523.0
DT0027,2025-12-12,M06,12.8,Kerusakan Elektrikal,79.7,81.8,Malam,2176.0
DT0028,2025-08-06,M04,11.1,Kerusakan Mekanis,73.6,78.0,Malam,1726.0
DT0029,2025-12-27,M07,8.2,Pergantian Alat (Tooling Change),63.4,80.9,Malam,1444.0
DT0030,2025-08-18,M05,6.4,Kerusakan Mekanis,57.0,82.5,Pagi,1025.0
DT0031,2025-11-26,M02,8.5,Kerusakan Mekanis,64.3,85.6,Pagi,1097.0
DT0032,2025-09-10,M08,10.5,Pergantian Alat (Tooling Change),71.5,49.1,Malam,1185.0
DT0033,2026-01-13,M10,6.3,Pergantian Alat (Tooling Change),56.7,65.1,Malam,236.0
DT0034,2025-12-05,M08,10.9,Kekurangan Bahan Baku,73.0,47.7,Malam,335.0
DT0035,2025-12-23,M02,8.9,Kerusakan Mekanis,66.0,77.0,Siang,702.0
DT0036,2025-12-27,M06,13.4,Kerusakan Elektrikal,81.6,96.4,Malam,1721.0
DT0037,2025-08-09,M02,8.6,Kesalahan Operator,64.7,85.4,Pagi,1253.0
DT0038,2026-01-03,M01,6.5,Kerusakan Elektrikal,57.6,62.9,Pagi,999.0
DT0039,2025-08-16,M02,8.4,Kesalahan Operator,64.1,79.6,Pagi,1011.0
DT0040,2025-11-08,M09,5.7,Kekurangan Bahan Baku,54.8,77.2,Pagi,1357.0
DT0041,2025-11-29,M10,6.3,Pergantian Alat (Tooling Change),56.9,75.5,Pagi,513.0
DT0042,2026-01-12,M06,12.5,Kerusakan Mekanis,78.6,52.4,Pagi,1910.0
DT0043,2025-12-11,M09,6.2,Kesalahan Operator,56.3,91.7,Malam,492.0
DT0044,2025-12-09,M05,6.6,Pergantian Alat (Tooling Change),57.8,54.3,Pagi,1230.0
DT0045,2026-01-25,M01,6.5,Pergantian Alat (Tooling Change),57.4,66.5,Malam,612.0
DT0046,2025-08-03,M10,6.3,Kesalahan Operator,56.9,86.4,Siang,684.0
DT0047,2025-08-01,M08,10.7,Pergantian Alat (Tooling Change),72.2,66.4,Siang,1193.0
DT0048,2025-09-04,M07,7.8,Kerusakan Elektrikal,62.0,73.2,Pagi,993.0
DT0049,2025-09-13,M01,6.6,Kekurangan Bahan Baku,57.9,73.8,Pagi,296.0
DT0050,2025-10-31,M10,6.0,Pergantian Alat (Tooling Change),55.6,73.0,Pagi,1299.0
DT0051,2025-12-31,M01,7.0,Kekurangan Bahan Baku,59.2,73.7,Pagi,739.0
DT0052,2025-10-11,M01,6.9,Kerusakan Elektrikal,58.9,75.2,Malam,1320.0
DT0053,2026-01-11,M01,5.9,Kerusakan Elektrikal,55.5,73.1,Siang,490.0
DT0054,2025-11-26,M10,6.4,Pergantian Alat (Tooling Change),57.3,58.6,Pagi,395.0
DT0055,2025-10-25,M09,6.1,Kerusakan Mekanis,56.2,48.7,Pagi,1402.0
DT0056,2025-12-24,M02,8.1,Kekurangan Bahan Baku,63.0,87.0,Siang,
DT0057,2025-10-28,M05,7.1,Kerusakan Elektrikal,59.7,87.7,Siang,701.0
DT0058,2025-08-08,M06,12.3,Pergantian Alat (Tooling Change),77.8,77.1,Malam,1362.0
DT0059,2026-01-04,M06,13.0,Kerusakan Mekanis,80.3,76.9,Pagi,1825.0
DT0060,2025-08-25,M03,2.7,Kerusakan Elektrikal,44.0,58.3,Malam,630.0
DT0061,2025-10-24,M01,6.2,Kerusakan Mekanis,56.3,35.4,Pagi,
DT0062,2025-08-29,M01,7.3,Kekurangan Bahan Baku,60.1,68.3,Pagi,752.0
DT0063,2025-12-23,M10,5.7,Kekurangan Bahan Baku,54.8,43.5,Siang,1131.0
DT0064,2025-11-25,M07,8.1,Kekurangan Bahan Baku,63.2,74.8,Pagi,446.0
DT0065,2026-01-21,M10,6.0,Kerusakan Elektrikal,55.8,91.6,Pagi,
DT0066,2026-01-06,M09,5.9,Kerusakan Mekanis,55.3,62.8,Siang,972.0
DT0067,2025-09-17,M03,3.1,Kekurangan Bahan Baku,45.4,63.6,Malam,865.0
DT0068,2025-09-16,M01,6.6,Pergantian Alat (Tooling Change),58.0,56.9,Pagi,
DT0069,2025-09-20,M07,8.7,Kekurangan Bahan Baku,65.1,72.7,Malam,606.0
