InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536532,10009,PARTY BUNTING,1,11/24/2019 18:00,2.36,,Portugal
537816,10016,VINTAGE SNAKES AND LADDERS,2,11/05/2019 01:00,11.33,16962.0,France
537592,10003,GLASS JAR CANDLE,1742,01/15/2020 07:00,1.42,15088.0,United Kingdom
537187,10002,RED WOOLLY HOTTIE MUG,2,01/21/2020 23:00,0.65,14753.0,United Kingdom
537176,10016,VINTAGE SNAKES AND LADDERS,3,02/01/2020 17:00,3.16,18073.0,United Kingdom
537974,10017,WOODEN FRAME ANTIQUE WHITE,6,02/23/2020 02:00,7.22,16646.0,EIRE
536526,10008,JUMBO BAG RED RETROSPOT,3,12/30/2019 16:00,3.53,,United Kingdom
537672,10000,WHITE HANGING HEART T-LIGHT HOLDER,5,02/08/2020 12:00,2.23,12891.0,United Kingdom
536742,10010,LUNCH BAG WOODLAND,20,01/25/2020 23:00,0.58,15497.0,United Kingdom
536541,10005,SET OF 3 CAKE TINS,3,12/04/2019 06:00,2.32,16653.0,United Kingdom
537352,10011,RECIPE BOX PANTRY DESIGN,13,02/10/2020 10:00,8.44,12558.0,United Kingdom
538194,10002,RED WOOLLY HOTTIE MUG,7,11/07/2019 09:00,0.72,,United Kingdom
537744,10016,VINTAGE SNAKES AND LADDERS,1,01/11/2020 21:00,1.93,12676.0,Germany
537792,10013,SPACEBOY LUNCH BOX,1,02/21/2020 21:00,1.67,17695.0,United Kingdom
537710,10012,ROUND SNACK BOXES SET OF 4,2,01/19/2020 02:00,1.22,16391.0,United Kingdom
537838,10010,LUNCH BAG WOODLAND,2,02/21/2020 11:00,3.15,13465.0,United Kingdom
537327,10004,VINTAGE UNION JACK BUNTING,4,11/07/2019 17:00,3.83,15443.0,United Kingdom
536605,10018,ALARM CLOCK BAKELIKE RED,7,01/03/2020 21:00,3.79,12995.0,United Kingdom
537939,10005,SET OF 3 CAKE TINS,14,02/02/2020 16:00,0.93,,Spain
537209,10007,REGENCY CAKESTAND 3 TIER,6,01/17/2020 02:00,0.47,13511.0,Belgium
537303,10018,,3,02/14/2020 16:00,3.2,15953.0,United Kingdom
537060,10000,WHITE HANGING HEART T-LIGHT HOLDER,1,12/26/2019 12:00,1.48,12812.0,Australia
536707,10002,RED WOOLLY HOTTIE MUG,4,01/21/2020 22:00,15.46,,United Kingdom
538102,10015,TRAVEL SEWING KIT,4,12/21/2019 09:00,16.19,18169.0,United Kingdom
537830,10007,REGENCY CAKESTAND 3 TIER,5,02/13/2020 16:00,18.01,14638.0,United Kingdom
537572,10011,RECIPE BOX PANTRY DESIGN,33,11/15/2019 08:00,0.96,13075.0,Belgium
537119,10011,RECIPE BOX PANTRY DESIGN,14,12/01/2019 12:00,4.35,16504.0,United Kingdom
537907,10016,VINTAGE SNAKES AND LADDERS,9,11/12/2019 14:00,5.88,,Germany
537387,10012,ROUND SNACK BOXES SET OF 4,2,01/24/2020 06:00,5.25,15847.0,United Kingdom
537196,10008,JUMBO BAG RED RETROSPOT,2,11/28/2019 22:00,1.73,,United Kingdom
537209,10010,LUNCH BAG WOODLAND,4,12/09/2019 01:00,8.84,,Belgium
536791,10014,STRAWBERRY CERAMIC TRINKET BOX,2,02/09/2020 10:00,2.46,13811.0,Switzerland
536537,10007,REGENCY CAKESTAND 3 TIER,7,12/14/2019 05:00,2.8,13753.0,United Kingdom
537404,10003,GLASS JAR CANDLE,6,11/18/2019 12:00,0.53,,Germany
538029,10009,PARTY BUNTING,1,11/03/2019 12:00,4.69,16100.0,United Kingdom
536484,10019,HAND WARMER OWL DESIGN,13,11/28/2019 05:00,1.9,16340.0,United Kingdom
537974,10002,RED WOOLLY HOTTIE MUG,4,02/18/2020 19:00,3.91,15441.0,United Kingdom
537916,10003,GLASS JAR CANDLE,1,01/05/2020 20:00,3.11,14715.0,United Kingdom
536883,10019,HAND WARMER OWL DESIGN,4,02/28/2020 10:00,2.95,12714.0,Australia
537549,10016,VINTAGE SNAKES AND LADDERS,5,11/26/2019 19:00,2.35,17309.0,United Kingdom
536674,10002,RED WOOLLY HOTTIE MUG,11,12/13/2019 04:00,5.4,,United Kingdom
537786,10004,VINTAGE UNION JACK BUNTING,3,11/20/2019 14:00,2.02,16137.0,Netherlands
537678,10013,SPACEBOY LUNCH BOX,9,12/18/2019 19:00,0.57,,United Kingdom
537029,10015,TRAVEL SEWING KIT,5,01/07/2020 14:00,4.34,14058.0,United Kingdom
536492,10014,STRAWBERRY CERAMIC TRINKET BOX,1,02/06/2020 00:00,1.1,14150.0,EIRE
538185,10017,WOODEN FRAME ANTIQUE WHITE,1,12/15/2019 04:00,0.65,15898.0,United Kingdom
537200,10010,LUNCH BAG WOODLAND,12,02/01/2020 14:00,0.88,17023.0,Germany
538039,10017,WOODEN FRAME ANTIQUE WHITE,13,01/15/2020 03:00,3.27,17493.0,United Kingdom
537636,10011,RECIPE BOX PANTRY DESIGN,6,12/06/2019 00:00,2.23,15447.0,United Kingdom
537824,10009,PARTY BUNTING,18,02/18/2020 12:00,0.29,14511.0,United Kingdom
537789,10012,ROUND SNACK BOXES SET OF 4,12,12/23/2019 03:00,1.68,14770.0,United Kingdom
536729,10008,JUMBO BAG RED RETROSPOT,8,11/19/2019 03:00,7.92,16721.0,United Kingdom
537047,10012,ROUND SNACK BOXES SET OF 4,1462,02/24/2020 13:00,1.57,,United Kingdom
537240,10016,VINTAGE SNAKES AND LADDERS,23,02/18/2020 15:00,2.08,14816.0,Belgium
537298,10019,HAND WARMER OWL DESIGN,7,11/06/2019 22:00,6.98,17017.0,EIRE
536447,10011,RECIPE BOX PANTRY DESIGN,3,02/17/2020 08:00,5.45,15572.0,United Kingdom
537389,10000,WHITE HANGING HEART T-LIGHT HOLDER,2,02/22/2020 17:00,6.83,,Belgium
536654,10012,ROUND SNACK BOXES SET OF 4,5,02/08/2020 12:00,0.25,16704.0,Spain
537758,10005,SET OF 3 CAKE TINS,1,12/01/2019 14:00,13.92,14060.0,United Kingdom
537645,10004,VINTAGE UNION JACK BUNTING,8,01/15/2020 18:00,4.65,12705.0,United Kingdom
538094,10017,WOODEN FRAME ANTIQUE WHITE,2,01/04/2020 14:00,28.83,,United Kingdom
537761,10008,JUMBO BAG RED RETROSPOT,6,01/14/2020 10:00,1.12,15048.0,United Kingdom
537052,10015,TRAVEL SEWING KIT,2,01/13/2020 23:00,0.42,,United Kingdom
538179,10007,REGENCY CAKESTAND 3 TIER,3,01/16/2020 17:00,2.48,12911.0,United Kingdom
537135,10012,ROUND SNACK BOXES SET OF 4,2,01/01/2020 16:00,1.87,17849.0,EIRE
536975,10013,SPACEBOY LUNCH BOX,3,01/22/2020 21:00,4.73,16653.0,United Kingdom
538062,10017,WOODEN FRAME ANTIQUE WHITE,27,01/03/2020 05:00,7.21,13974.0,United Kingdom
537059,10003,GLASS JAR CANDLE,16,11/02/2019 23:00,2.25,,Spain
536508,10011,RECIPE BOX PANTRY DESIGN,6,11/05/2019 05:00,1.93,15104.0,United Kingdom
