ID_Unit,Tegangan_Output_Volt,Arus_Output_Ampere,Suhu_Komponen_Celcius,Waktu_Uji_Detik,Line_Perakitan,Status_Akhir
U00001,11.874,2.16,49.2,16.6,L1,Lolos
U00002,11.756,2.396,43.5,17.5,L2,Lolos
U00003,12.292,1.79,48.5,18.1,L2,Lolos
U00004,11.932,1.894,35.0,20.9,L3,Lolos
U00005,,2.202,47.9,13.8,L1,Lolos
U00006,12.333,2.208,49.5,14.9,L2,Lolos
U00007,12.409,2.274,45.9,14.3,L3,Lolos
U00008,,2.254,52.0,20.6,L2,Lolos
U00009,11.476,1.617,46.7,17.7,L3,Lolos
U00010,11.966,1.88,45.9,15.3,L1,Lolos
U00011,10.598,2.441,64.5,17.3,L2,Gagal
U00012,11.553,1.978,39.3,16.1,L2,Lolos
U00013,11.441,2.106,57.2,13.7,L2,Gagal
U00014,12.366,1.967,52.9,21.8,L2,Lolos
U00015,12.228,,50.1,17.6,L2,Lolos
U00016,,1.94,42.6,21.9,L2,Lolos
U00017,11.775,1.72,47.1,13.7,L2,Lolos
U00018,12.208,2.289,46.6,19.5,L3,Gagal
U00019,,1.983,41.6,13.7,L2,Lolos
U00020,11.805,1.988,45.8,25.3,L2,Lolos
U00021,11.949,2.142,39.7,12.8,L3,Lolos
U00022,11.804,1.929,43.6,23.4,L1,Lolos
U00023,12.091,2.419,38.4,17.9,L1,Lolos
U00024,12.345,2.307,48.9,17.5,L1,Lolos
U00025,10.365,2.071,61.8,19.8,L1,Gagal
U00026,12.297,2.049,58.2,15.2,L1,Lolos
U00027,12.445,2.303,38.8,20.4,L1,Lolos
U00028,12.523,1.84,39.9,20.6,L2,Lolos
U00029,11.167,2.089,55.4,18.0,L3,Gagal
U00030,11.772,2.516,61.4,18.8,L2,Gagal
U00031,11.611,2.608,53.9,23.8,L3,Gagal
U00032,11.62,2.268,51.5,20.0,L3,Lolos
U00033,11.542,2.079,48.9,15.7,L1,Lolos
U00034,11.991,1.936,35.1,20.3,L1,Lolos
U00035,11.855,1.665,46.0,16.4,L2,Lolos
U00036,11.94,2.034,38.2,15.8,L3,Lolos
U00037,10.748,2.577,52.2,19.5,L3,Gagal
U00038,12.756,2.311,43.2,15.0,L1,Lolos
U00039,11.838,2.268,50.1,18.1,L1,Lolos
U00040,12.205,2.197,45.5,20.0,L3,Lolos
U00041,12.182,2.553,42.9,23.7,L3,Lolos
U00042,10.371,1.596,73.0,19.9,L3,Gagal
U00043,12.513,2.058,40.3,13.6,L3,Lolos
U00044,12.219,1.766,47.4,14.1,L1,Lolos
U00045,12.055,2.388,49.7,23.2,L3,Lolos
U00046,12.37,1.862,46.7,16.1,L3,Lolos
U00047,11.983,,40.3,13.5,L2,Lolos
U00048,12.309,1.888,40.0,15.0,L1,Lolos
U00049,11.343,2.105,49.4,20.4,L2,Lolos
U00050,12.286,1.973,51.9,18.3,L2,Lolos
U00051,12.064,1.997,45.4,19.9,L1,Lolos
U00052,,2.083,37.8,17.9,L1,Lolos
U00053,11.489,2.622,52.2,14.7,L1,Gagal
U00054,11.923,1.973,54.8,12.6,L1,Lolos
U00055,11.913,2.223,39.6,15.5,L1,Lolos
U00056,11.601,2.259,43.8,18.4,L3,Lolos
U00057,12.125,1.896,46.0,14.4,L1,Lolos
U00058,12.551,2.471,52.2,20.9,L2,Lolos
U00059,11.503,2.186,42.5,15.0,L3,Lolos
U00060,11.606,2.13,57.4,13.0,L1,Gagal
U00061,11.853,2.154,54.0,18.0,L2,Lolos
U00062,11.812,2.26,36.8,20.3,L1,Lolos
U00063,11.345,2.494,45.4,22.5,L1,Gagal
U00064,12.031,2.05,45.1,13.2,L2,Lolos
U00065,12.065,,51.5,22.3,L2,Lolos
U00066,11.604,1.758,47.7,18.6,L3,Lolos
U00067,12.381,2.17,52.1,16.1,L2,Lolos
U00068,12.062,,40.9,20.0,L1,Gagal
U00069,12.208,2.128,47.7,22.1,L1,Lolos
U00070,12.425,2.221,28.6,13.0,L2,Lolos
U00071,,1.972,53.6,16.7,L1,Lolos
U00072,10.918,1.761,55.7,16.4,L1,Gagal
U00073,11.943,1.816,43.7,19.9,L2,Lolos
U00074,11.42,,44.7,22.4,L1,Gagal
U00075,11.72,2.314,44.4,18.2,L3,Lolos
U00076,11.503,1.714,59.1,17.1,L3,Gagal
U00077,11.631,2.02,48.1,19.3,L1,Lolos
U00078,12.141,1.633,56.8,17.3,L3,Lolos
U00079,12.099,,43.9,11.5,L3,Lolos
